"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2016-08-30 05:20:23.236188,TRUE,FALSE,0,FALSE,2016-08-30 05:20:23.236188,0
2016-08-30 18:36:49.66653,FALSE,FALSE,0,FALSE,2016-08-30 17:36:54.905187,0
2016-08-31 05:26:08.794131,TRUE,FALSE,0,FALSE,2016-08-31 05:58:49.804167,0
2016-08-31 18:46:42.211905,FALSE,FALSE,0,FALSE,2016-08-31 18:46:42.211905,0
2016-09-01 05:29:46.739543,TRUE,FALSE,0,FALSE,2016-09-01 05:29:46.739543,0
2016-09-01 18:22:00.319896,FALSE,FALSE,0,FALSE,2016-09-01 18:22:00.319896,0
2016-09-02 05:35:15.570088,TRUE,FALSE,0,FALSE,2016-09-02 07:34:19.056592,0
2016-09-02 18:20:00.763812,FALSE,FALSE,0,FALSE,2016-09-02 18:20:00.763812,0
2016-09-03 05:36:05.448331,TRUE,FALSE,0,FALSE,2016-09-03 05:36:05.448331,0
2016-09-03 17:52:10.166961,FALSE,FALSE,0,FALSE,2016-09-03 16:30:54.521726,0
2016-09-04 05:29:04.524276,TRUE,FALSE,0,FALSE,2016-09-04 05:29:04.524276,0
2016-09-04 17:56:59.36925,FALSE,FALSE,0,FALSE,2016-09-04 17:56:59.36925,0
2016-09-05 05:39:23.713296,TRUE,FALSE,0,FALSE,2016-09-05 05:39:23.713296,0
2016-09-05 18:01:59.014519,FALSE,FALSE,0,FALSE,2016-09-05 18:01:59.014519,0
2016-09-06 05:42:10.552352,TRUE,FALSE,0,FALSE,2016-09-06 07:03:45.91241,0
2016-09-06 18:44:18.551669,FALSE,FALSE,0,FALSE,2016-09-06 18:44:18.551669,0
2016-09-07 05:23:28.73661,TRUE,FALSE,0,FALSE,2016-09-07 07:28:38.284651,0
2016-09-07 18:11:46.728547,FALSE,FALSE,0,FALSE,2016-09-07 18:11:46.728547,0
2016-09-08 05:36:08.665667,TRUE,FALSE,0,FALSE,2016-09-08 05:16:05.448331,0
2016-09-08 18:22:19.435089,FALSE,FALSE,0,FALSE,2016-09-08 18:22:19.435089,0
2016-09-09 05:31:05.448331,TRUE,FALSE,0,FALSE,2016-09-09 05:31:05.448331,0
2016-09-09 18:34:18.551669,FALSE,FALSE,0,FALSE,2016-09-09 18:34:18.551669,0
2016-09-10 05:33:49.108578,TRUE,FALSE,0,FALSE,2016-09-10 06:22:45.753668,0
2016-09-10 18:45:00.763812,FALSE,FALSE,0,FALSE,2016-09-10 18:45:00.763812,0
2016-09-11 05:53:16.256503,TRUE,FALSE,0,FALSE,2016-09-11 06:54:11.934744,0
2016-09-11 18:30:23.132962,FALSE,FALSE,0,FALSE,2016-09-11 18:30:23.132962,0
2016-09-12 06:03:42.578936,TRUE,FALSE,0,FALSE,2016-09-12 06:03:42.578936,0
2016-09-12 18:07:03.438816,FALSE,FALSE,0,FALSE,2016-09-12 18:07:03.438816,0
2016-09-13 06:04:19.056592,TRUE,FALSE,0,FALSE,2016-09-13 06:04:19.056592,0
2016-09-13 17:56:51.700448,FALSE,FALSE,0,FALSE,2016-09-13 17:56:51.700448,0
2016-09-14 06:20:00.867038,TRUE,FALSE,0,FALSE,2016-09-14 06:20:00.867038,0
2016-09-14 17:52:22.775532,FALSE,FALSE,0,FALSE,2016-09-14 18:30:47.148245,0
2016-09-15 06:16:21.145775,TRUE,FALSE,0,FALSE,2016-09-15 06:59:29.478274,0
2016-09-15 17:51:14.870919,FALSE,FALSE,0,FALSE,2016-09-15 17:51:14.870919,0
2016-09-16 06:11:05.448331,TRUE,FALSE,0,FALSE,2016-09-16 06:11:05.448331,0
2016-09-16 17:50:39.887985,FALSE,FALSE,0,FALSE,2016-09-16 17:25:23.132962,0
2016-09-17 06:22:06.349495,TRUE,FALSE,0,FALSE,2016-09-17 07:04:09.129081,0
2016-09-17 17:50:47.148245,FALSE,FALSE,0,FALSE,2016-09-17 17:50:47.148245,0
2016-09-18 06:25:00.867038,TRUE,FALSE,0,FALSE,2016-09-18 06:25:00.867038,0
2016-09-18 18:29:18.551669,FALSE,FALSE,0,FALSE,2016-09-18 18:29:18.551669,0
2016-09-19 06:11:05.448331,TRUE,FALSE,0,FALSE,2016-09-19 06:11:05.448331,0
2016-09-19 18:31:08.799954,FALSE,FALSE,0,FALSE,2016-09-19 18:31:08.799954,0
2016-09-20 06:08:56.597783,TRUE,FALSE,0,FALSE,2016-09-20 06:08:56.597783,0
2016-09-20 18:25:47.148245,FALSE,FALSE,0,FALSE,2016-09-20 18:25:47.148245,0
2016-09-21 06:26:05.448331,TRUE,FALSE,0,FALSE,2016-09-21 06:26:05.448331,0
2016-09-21 18:36:19.475724,FALSE,FALSE,0,FALSE,2016-09-21 18:36:19.475724,0
2016-09-22 06:10:23.236188,TRUE,FALSE,0,FALSE,2016-09-22 06:10:23.236188,0
2016-09-22 18:46:34.936232,FALSE,FALSE,0,FALSE,2016-09-22 18:46:34.936232,0
2016-09-23 06:06:05.448331,TRUE,FALSE,0,FALSE,2016-09-23 06:06:05.448331,0
2016-09-23 18:42:24.931994,FALSE,FALSE,0,FALSE,2016-09-23 18:42:24.931994,0
2016-09-24 06:27:48.097723,TRUE,FALSE,0,FALSE,2016-09-24 06:27:48.097723,0
2016-09-24 18:31:42.211905,FALSE,FALSE,0,FALSE,2016-09-24 18:31:42.211905,0
2016-09-25 06:23:35.532374,TRUE,FALSE,0,FALSE,2016-09-25 06:23:35.532374,0
2016-09-25 18:26:41.646206,FALSE,FALSE,0,FALSE,2016-09-25 18:50:00.763812,0
2016-09-26 06:33:32.570604,TRUE,FALSE,0,FALSE,2016-09-26 06:33:32.570604,0
2016-09-26 18:17:10.295425,FALSE,FALSE,0,FALSE,2016-09-26 17:49:18.551669,0
2016-09-27 06:28:40.041158,TRUE,FALSE,0,FALSE,2016-09-27 06:28:40.041158,0
2016-09-27 18:12:55.499144,FALSE,FALSE,0,FALSE,2016-09-27 17:46:04.943408,0
2016-09-28 06:25:00.867038,TRUE,FALSE,0,FALSE,2016-09-28 06:25:00.867038,0
2016-09-28 18:21:47.420924,FALSE,FALSE,0,FALSE,2016-09-28 18:21:47.420924,0
2016-09-29 06:16:05.448331,TRUE,FALSE,0,FALSE,2016-09-29 06:16:05.448331,0
2016-09-29 18:15:47.148245,FALSE,FALSE,0,FALSE,2016-09-29 18:15:47.148245,0
2016-09-30 06:09:29.478274,TRUE,FALSE,0,FALSE,2016-09-30 06:09:29.478274,0
2016-09-30 18:36:21.397749,FALSE,FALSE,0,FALSE,2016-09-30 18:36:21.397749,0
2016-10-01 06:16:05.448331,TRUE,FALSE,0,FALSE,2016-10-01 06:16:05.448331,0
2016-10-01 18:06:56.580928,FALSE,FALSE,0,FALSE,2016-10-01 18:06:56.580928,0
2016-10-02 06:40:44.090842,TRUE,FALSE,0,FALSE,2016-10-02 06:56:05.448331,0
2016-10-02 18:16:41.646206,FALSE,FALSE,0,FALSE,2016-10-02 18:40:00.763812,0
2016-10-03 06:41:05.448331,TRUE,FALSE,0,FALSE,2016-10-03 06:41:05.448331,0
2016-10-03 18:11:41.646206,FALSE,FALSE,0,FALSE,2016-10-03 18:36:24.682653,0
2016-10-04 06:41:05.448331,TRUE,FALSE,0,FALSE,2016-10-04 06:41:05.448331,0
2016-10-04 17:57:02.753687,FALSE,FALSE,0,FALSE,2016-10-04 17:57:02.753687,0
2016-10-05 06:43:36.145417,TRUE,FALSE,0,FALSE,2016-10-05 06:43:36.145417,0
2016-10-05 17:57:00.464044,FALSE,FALSE,0,FALSE,2016-10-05 17:57:00.464044,0
2016-10-06 06:33:41.41386,TRUE,FALSE,0,FALSE,2016-10-06 06:33:41.41386,0
2016-10-06 18:22:32.825465,FALSE,FALSE,0,FALSE,2016-10-06 18:22:32.825465,0
2016-10-07 06:24:02.602251,TRUE,FALSE,0,FALSE,2016-10-07 06:24:02.602251,0
2016-10-07 18:05:47.148245,FALSE,FALSE,0,FALSE,2016-10-07 18:05:47.148245,0
2016-10-08 06:38:41.788095,TRUE,FALSE,0,FALSE,2016-10-08 06:38:41.788095,0
2016-10-08 18:25:54.521726,FALSE,FALSE,0,FALSE,2016-10-08 18:25:54.521726,0
2016-10-09 06:26:05.448331,TRUE,FALSE,0,FALSE,2016-10-09 06:26:05.448331,0
2016-10-09 18:30:23.132962,FALSE,FALSE,0,FALSE,2016-10-09 18:30:23.132962,0
2016-10-10 06:26:05.448331,TRUE,FALSE,0,FALSE,2016-10-10 06:26:05.448331,0
2016-10-10 18:24:18.551669,FALSE,FALSE,0,FALSE,2016-10-10 18:24:18.551669,0
2016-10-11 06:30:23.236188,TRUE,FALSE,0,FALSE,2016-10-11 06:30:23.236188,0
2016-10-11 18:16:17.31898,FALSE,FALSE,0,FALSE,2016-10-11 18:16:17.31898,0
2016-10-12 06:32:10.423888,TRUE,FALSE,0,FALSE,2016-10-12 06:57:46.858919,0
2016-10-12 17:50:00.763812,FALSE,FALSE,0,FALSE,2016-10-12 17:50:00.763812,0
2016-10-13 06:25:00.867038,TRUE,FALSE,0,FALSE,2016-10-13 06:25:00.867038,0
2016-10-13 17:27:39.238987,FALSE,FALSE,0,FALSE,2016-10-13 17:27:39.238987,0
2016-10-14 06:38:57.896855,TRUE,FALSE,0,FALSE,2016-10-14 06:38:57.896855,0
2016-10-14 17:51:49.91611,FALSE,FALSE,0,FALSE,2016-10-14 17:51:49.91611,0
2016-10-15 06:24:00.878073,TRUE,FALSE,0,FALSE,2016-10-15 06:24:00.878073,0
2016-10-15 17:56:30.728149,FALSE,FALSE,0,FALSE,2016-10-15 17:56:30.728149,0
2016-10-16 06:23:04.564911,TRUE,FALSE,0,FALSE,2016-10-16 06:23:04.564911,0
2016-10-16 18:17:27.763198,FALSE,FALSE,0,FALSE,2016-10-16 18:17:27.763198,0
2016-10-17 06:45:00.867038,TRUE,FALSE,0,FALSE,2016-10-17 06:45:00.867038,0
2016-10-17 18:06:00.286704,FALSE,FALSE,0,FALSE,2016-10-17 18:06:00.286704,0
2016-10-18 06:44:58.887123,TRUE,FALSE,0,FALSE,2016-10-18 06:58:35.146514,0
2016-10-18 17:56:38.08759,FALSE,FALSE,0,FALSE,2016-10-18 17:56:38.08759,0
2016-10-19 06:31:05.448331,TRUE,FALSE,0,FALSE,2016-10-19 06:31:05.448331,0
2016-10-19 18:15:23.132962,FALSE,FALSE,0,FALSE,2016-10-19 18:15:23.132962,0
2016-10-20 06:34:00.878073,TRUE,FALSE,0,FALSE,2016-10-20 06:34:00.878073,0
2016-10-20 17:54:38.258228,FALSE,FALSE,0,FALSE,2016-10-20 17:35:37.260457,0
2016-10-21 06:46:05.448331,TRUE,FALSE,0,FALSE,2016-10-21 06:46:05.448331,0
2016-10-21 17:56:08.799954,FALSE,FALSE,0,FALSE,2016-10-21 17:56:08.799954,0
2016-10-22 06:39:09.129081,TRUE,FALSE,0,FALSE,2016-10-22 06:39:09.129081,0
2016-10-22 18:09:18.551669,FALSE,FALSE,0,FALSE,2016-10-22 18:09:18.551669,0
2016-10-23 06:54:29.478274,TRUE,FALSE,0,FALSE,2016-10-23 06:54:29.478274,0
2016-10-23 17:56:33.409991,FALSE,FALSE,0,FALSE,2016-10-23 17:56:33.409991,0
2016-10-24 06:59:29.478274,TRUE,FALSE,0,FALSE,2016-10-24 06:59:29.478274,0
2016-10-24 17:46:04.943408,FALSE,FALSE,0,FALSE,2016-10-24 17:46:04.943408,0
