"series","timestamp","value","label"
"Rise","2024-10-12T07:00:46Z",400,"8"
"Set","2024-10-12T17:55:46Z",1055,"8"
"Rise","2024-10-13T06:15:46Z",355,"8"
"Set","2024-10-13T18:00:46Z",1060,"8"
"Rise","2024-10-14T06:15:46Z",355,"8"
"Set","2024-10-14T18:00:46Z",1060,"8"
"Rise","2024-10-15T06:20:46Z",360,"8"
"Set","2024-10-15T17:55:46Z",1055,"8"
"Rise","2024-10-16T06:20:46Z",360,"8"
"Set","2024-10-16T18:10:46Z",1070,"8"
"Rise","2024-10-17T06:10:46Z",350,"8"
"Set","2024-10-17T18:05:46Z",1065,"8"
"Rise","2024-10-18T06:05:46Z",345,"8"
"Set","2024-10-18T18:00:46Z",1060,"8"
"Rise","2024-10-19T06:10:46Z",350,"8"
"Set","2024-10-19T17:50:46Z",1050,"8"
"Rise","2024-10-20T06:15:46Z",355,"8"
"Set","2024-10-20T18:00:46Z",1060,"8"
"Rise","2024-10-21T06:10:46Z",350,"8"
"Set","2024-10-21T17:55:46Z",1055,"8"
"Rise","2024-10-22T06:15:46Z",355,"8"
"Set","2024-10-22T17:50:46Z",1050,"8"
"Rise","2024-10-23T06:25:46Z",365,"8"
"Set","2024-10-23T17:55:46Z",1055,"8"
"Rise","2024-10-24T06:25:46Z",365,"8"
"Set","2024-10-24T17:55:46Z",1055,"8"
"Rise","2024-10-25T06:25:46Z",365,"8"
"Set","2024-10-25T17:55:46Z",1055,"8"
"Rise","2024-10-26T06:10:46Z",350,"8"
"Set","2024-10-26T17:50:46Z",1050,"8"
"Rise","2024-10-27T06:20:46Z",360,"8"
"Set","2024-10-27T17:45:46Z",1045,"8"
"Rise","2024-10-28T06:20:46Z",360,"8"
"Set","2024-10-28T17:40:46Z",1040,"8"
"Rise","2024-10-29T06:35:46Z",375,"8"
"Set","2024-10-29T17:40:46Z",1040,"8"
"Rise","2024-10-30T06:40:46Z",380,"8"
"Set","2024-10-30T17:40:46Z",1040,"8"
"Rise","2024-10-31T06:35:46Z",375,"8"
"Set","2024-10-31T17:45:46Z",1045,"8"
"Rise","2024-11-01T06:35:46Z",375,"8"
"Set","2024-11-01T17:40:46Z",1040,"8"
"Rise","2024-11-02T06:15:46Z",355,"8"
"Set","2024-11-02T17:40:46Z",1040,"8"
"Rise","2024-11-03T06:25:46Z",365,"8"
"Set","2024-11-03T17:40:46Z",1040,"8"
"Rise","2024-11-04T06:35:46Z",375,"8"
"Set","2024-11-04T17:40:46Z",1040,"8"
"Rise","2024-11-05T06:40:46Z",380,"8"
"Set","2024-11-05T17:40:46Z",1040,"8"
"Rise","2024-11-06T06:50:46Z",390,"8"
"Set","2024-11-06T17:40:46Z",1040,"8"
"Rise","2024-11-07T06:40:46Z",380,"8"
"Set","2024-11-07T17:40:46Z",1040,"8"
"Rise","2024-11-08T06:55:46Z",395,"8"
"Set","2024-11-08T17:45:46Z",1045,"8"
"Rise","2024-11-09T06:45:46Z",385,"8"
"Set","2024-11-09T17:45:46Z",1045,"8"
"Rise","2024-11-10T06:35:46Z",375,"8"
"Set","2024-11-10T17:45:46Z",1045,"8"
"Rise","2024-11-11T06:35:46Z",375,"8"
"Set","2024-11-11T17:45:46Z",1045,"8"
"Rise","2024-11-12T06:30:46Z",370,"8"
"Set","2024-11-12T17:45:46Z",1045,"8"
"Rise","2024-11-13T06:45:46Z",385,"8"
"Set","2024-11-13T17:45:46Z",1045,"8"
"Rise","2024-11-14T06:50:46Z",390,"8"
"Set","2024-11-14T17:30:46Z",1030,"8"
"Rise","2024-11-15T06:45:46Z",385,"8"
"Set","2024-11-15T17:40:46Z",1040,"8"
"Rise","2024-11-16T06:50:46Z",390,"8"
"Set","2024-11-16T17:35:46Z",1035,"8"
"Rise","2024-11-17T06:45:46Z",385,"8"
"Set","2024-11-17T17:35:46Z",1035,"8"
"Rise","2024-11-18T06:50:46Z",390,"8"
"Set","2024-11-18T17:35:46Z",1035,"8"
"Rise","2024-11-19T07:00:46Z",400,"8"
"Set","2024-11-19T17:35:46Z",1035,"8"
"Rise","2024-11-20T06:40:46Z",380,"8"
"Set","2024-11-20T17:35:46Z",1035,"8"
"Rise","2024-11-21T06:55:46Z",395,"8"
"Set","2024-11-21T17:30:46Z",1030,"8"
"Rise","2024-11-22T06:50:46Z",390,"8"
"Set","2024-11-22T17:35:46Z",1035,"8"
"Rise","2024-11-23T06:55:46Z",395,"8"
"Set","2024-11-23T17:45:46Z",1045,"8"
"Rise","2024-11-24T06:55:46Z",395,"8"
"Set","2024-11-24T17:30:46Z",1030,"8"
"Rise","2024-11-25T06:35:46Z",375,"8"
"Set","2024-11-25T17:30:46Z",1030,"8"
"Rise","2024-11-26T07:00:46Z",400,"8"
"Set","2024-11-26T17:30:46Z",1030,"8"
"Rise","2024-11-27T07:00:46Z",400,"8"
"Set","2024-11-27T17:35:46Z",1035,"8"
"Rise","2024-11-28T07:00:46Z",400,"8"
"Set","2024-11-28T17:35:46Z",1035,"8"
"Rise","2024-11-29T07:05:46Z",405,"8"
"Set","2024-11-29T17:30:46Z",1030,"8"
"Rise","2024-11-30T07:00:46Z",400,"8"
"Set","2024-11-30T17:30:46Z",1030,"8"
"Rise","2024-12-01T07:05:46Z",405,"8"
"Set","2024-12-01T17:25:46Z",1025,"8"
"Rise","2024-12-02T07:10:46Z",410,"8"
"Set","2024-12-02T17:35:46Z",1035,"8"
"Rise","2024-12-03T07:05:46Z",405,"8"
"Set","2024-12-03T17:30:46Z",1030,"8"
"Rise","2024-12-04T06:50:46Z",390,"8"
"Set","2024-12-04T17:35:46Z",1035,"8"
"Rise","2024-12-05T07:00:46Z",400,"8"
"Set","2024-12-05T17:30:46Z",1030,"8"
"Rise","2024-12-06T07:00:46Z",400,"8"
"Set","2024-12-06T17:30:46Z",1030,"8"
"Rise","2024-12-07T06:55:46Z",395,"8"
"Set","2024-12-07T17:30:46Z",1030,"8"
"Rise","2024-12-08T07:15:46Z",415,"8"
"Set","2024-12-08T17:35:46Z",1035,"8"
"Rise","2024-12-09T07:05:46Z",405,"8"
"Set","2024-12-09T17:35:46Z",1035,"8"
"Rise","2024-12-10T06:55:46Z",395,"8"
"Set","2024-12-10T17:35:46Z",1035,"8"
"Rise","2024-12-11T07:00:46Z",400,"8"
"Set","2024-12-11T17:35:46Z",1035,"8"
"Rise","2024-12-12T07:10:46Z",410,"8"
"Set","2024-12-12T17:35:46Z",1035,"8"
"Rise","2024-12-13T07:10:46Z",410,"8"
"Set","2024-12-13T17:35:46Z",1035,"8"
"Rise","2024-12-14T07:10:46Z",410,"8"
"Set","2024-12-14T17:35:46Z",1035,"8"
"Rise","2024-12-15T07:15:46Z",415,"8"
"Set","2024-12-15T17:40:46Z",1040,"8"
"Rise","2024-12-16T07:10:46Z",410,"8"
"Set","2024-12-16T17:35:46Z",1035,"8"
"Rise","2024-12-17T07:15:46Z",415,"8"
"Set","2024-12-17T17:30:46Z",1030,"8"
"Rise","2024-12-18T07:20:46Z",420,"8"
"Set","2024-12-18T17:25:46Z",1025,"8"
"Rise","2024-12-19T07:15:46Z",415,"8"
"Set","2024-12-19T17:30:46Z",1030,"8"
"Rise","2024-12-20T07:15:46Z",415,"8"
"Set","2024-12-20T17:40:46Z",1040,"8"
"Rise","2024-12-21T07:15:46Z",415,"8"
"Set","2024-12-21T17:35:46Z",1035,"8"
"Rise","2024-12-22T07:10:46Z",410,"8"
"Set","2024-12-22T17:40:46Z",1040,"8"
"Rise","2024-12-23T07:10:46Z",410,"8"
"Set","2024-12-23T17:40:46Z",1040,"8"
"Rise","2024-12-24T07:15:46Z",415,"8"
"Set","2024-12-24T17:40:46Z",1040,"8"
"Rise","2024-12-25T07:15:46Z",415,"8"
"Set","2024-12-25T17:40:46Z",1040,"8"
"Rise","2024-12-26T07:15:46Z",415,"8"
"Set","2024-12-26T17:45:46Z",1045,"8"
"Rise","2024-12-27T07:00:46Z",400,"8"
"Set","2024-12-27T17:40:46Z",1040,"8"
"Rise","2024-12-28T07:20:46Z",420,"8"
"Set","2024-12-28T17:45:46Z",1045,"8"
"Rise","2024-12-29T07:15:46Z",415,"8"
"Set","2024-12-29T17:45:46Z",1045,"8"
"Rise","2024-12-30T07:25:46Z",425,"8"
"Set","2024-12-30T17:45:46Z",1045,"8"
"Rise","2024-12-31T07:20:46Z",420,"8"
"Set","2024-12-31T17:45:46Z",1045,"8"
"Rise","2025-01-01T07:20:46Z",420,"8"
"Set","2025-01-01T17:45:46Z",1045,"8"
"Rise","2025-01-02T07:15:46Z",415,"8"
"Set","2025-01-02T17:45:46Z",1045,"8"
"Rise","2025-01-03T07:15:46Z",415,"8"
"Set","2025-01-03T17:45:46Z",1045,"8"
"Rise","2025-01-04T07:30:46Z",430,"8"
"Set","2025-01-04T17:40:46Z",1040,"8"
"Rise","2025-01-05T07:15:46Z",415,"8"
"Set","2025-01-05T17:35:46Z",1035,"8"
"Rise","2025-01-06T07:30:46Z",430,"8"
"Set","2025-01-06T17:50:46Z",1050,"8"
"Rise","2025-01-07T07:15:46Z",415,"8"
"Set","2025-01-07T17:45:46Z",1045,"8"
"Rise","2025-01-08T07:20:46Z",420,"8"
"Set","2025-01-08T17:50:46Z",1050,"8"
"Rise","2025-01-09T07:25:46Z",425,"8"
"Set","2025-01-09T17:55:46Z",1055,"8"
"Rise","2025-01-10T07:10:46Z",410,"8"
"Set","2025-01-10T17:50:46Z",1050,"8"
"Rise","2025-01-11T07:15:46Z",415,"8"
"Set","2025-01-11T17:50:46Z",1050,"8"
"Rise","2025-01-12T07:20:46Z",420,"8"
